tweets,final_remove
That's great. It doesn't scale  :),FALSE
New export model for IoT: real time updates to healthcare data. ğŸ™ŒğŸ¾,FALSE
Love the new keto,FALSE
Github for data scientists... what does that actually mean?,FALSE
â€œYou trust the government's word? Be more open about your use of government power. This is what I mean!,FALSE
So exciting to see IBM announcing the news that 1 billion people around the world will have a digital device by 2020. Wow! #InternationalMeUndation,FALSE
I just watched a talk by a senior at a major university in the country (who I respect greatly) and got so emotional. I canâ€™t say enough how much it meant helping them become more popular. ,FALSE
"Hearing these incredible stories just now hits me harder. I'm going to de-emphasize Kingâ€™s story because itâ€™s so compelling, but also because itâ€™s so emotional. It really is wonderful.",FALSE
Wow! Thank you @HowardU for your leadership and for the invitation! ğŸ™ŒğŸ¾ğŸ™ŒğŸ¾ğŸ™ŒğŸ¾,FALSE
"The Hype Machine is back! I was missing out on a lot of value by this stage, so I'm thrilled to be able to return. Join me!",FALSE
Whatâ€™s the most amazing companies today that are still in existence?,FALSE
Trying to understand what folks are actually using to create ecosystem-building apps. Really love when the science is so compelling!,FALSE
WHAT is the upside of nondeterministic games?,FALSE
I know you remember my skills from Lyons Park days! Don't play. ğŸ˜‚ğŸ¤–,FALSE
NOTHING in the way of a NLP... ğŸ™ŒğŸ¾,FALSE
"Amazonâ€™s new feature is a DIYerâ€™s dream and it's taking a striking blow. Iâ€™m stunned by how many people still have not had the chance to get their hands on the first edition of Amazon Prime. 

I love my friendsâš¡ï¸ğŸš€",FALSE
Atta girl. Blown away by how much nerdiness is involved. (like a lot of things in life),FALSE
So excited to have graduated from Drew University with a BS in Communications &amp; had my first ever internet cafe customer support demo,FALSE
"If the notion of AI getting around to posting consumer feedback seems far-fetched, check out this simulation. Jump, dodge, dodge, dodge... ",FALSE